Cell	V	Wsyn	Sig0T	Sig0L	A10	Phi	a	m	B	L	Z
0	41.53	0.035	0	0	0	-90	12.3111	1	0.01	0.7992	0
1	41.53	0.035	2	0	0	-90	2.2216	1	0.3071	0.7992	0.8
2	41.53	0.035	12.5	0	0	-90	0.8845	1	1.9372	0.7992	1.6
3	41.53	0.035	27.9	0	0	-90	0.5923	1	4.3209	0.7992	2.4
4	41.53	0.035	34.2	0	0	-90	0.5259	1	5.2979	0.7992	3.2
5	41.53	0.0351	32.5	14.8	0.0114	-87.67	0.5164	1.0375	5.2996	0.8096	4.01
6	41.53	0.0352	30.9	20.8	0.02269	-85.3	0.5074	1.0755	5.303	0.8099	4.82
7	41.53	0.0353	29.2	25.3	0.03375	-82.94	0.4989	1.1142	5.3087	0.8107	5.63
8	41.53	0.0356	27.5	28.9	0.04465	-80.57	0.4908	1.1534	5.3169	0.8123	6.44
9	41.53	0.0359	25.9	31.9	0.05551	-78.19	0.4831	1.1932	5.3269	0.8151	7.25
10	41.53	0.0364	24.3	34.5	0.06644	-75.8	0.4758	1.2335	5.3383	0.8195	8.07
11	41.53	0.0371	22.9	36.5	0.07674	-73.39	0.4694	1.2705	5.35	0.8257	8.9
12	41.53	0.038	21.5	38.2	0.08737	-70.96	0.4632	1.3077	5.3627	0.8341	9.73
13	41.53	0.0391	20.3	39.7	0.09854	-68.5	0.4572	1.345	5.376	0.8448	10.58
14	41.53	0.0405	19.2	40.9	0.11042	-66	0.4514	1.3816	5.3894	0.8582	11.44
15	41.53	0.0422	18.3	41.9	0.1232	-63.45	0.4456	1.4187	5.4039	0.8746	12.31
16	41.53	0.0443	17.7	42.6	0.13649	-60.85	0.4405	1.4511	5.4167	0.8943	13.21
17	41.53	0.0467	17.9	42.5	0.14778	-58.18	0.437	1.4706	5.4246	0.9175	14.12
18	41.53	0.0495	18.2	42.3	0.16006	-55.43	0.4336	1.4888	5.432	0.9441	15.07
