Cell V_kV Wsyn_MeV Sig0T_deg Sig0L_deg A10 Phi_deg a_cm m B L_cm Z_cm A0 RFdef Oct A1
1 55.2 0.03 406.939799 0 0 -90 0.4 1 3 0.7399059247 0.7399059247 1 0 0 0
2 55.2 0.03 405.5594391 3.982032633 0.002872640492 -89.59731544 0.3993288591 1.005369128 3.006711409 0.7399059247 1.479811849 1 0 0 0
3 55.2 0.03015856584 404.1948531 5.628769288 0.005740248901 -89.19463087 0.3986577181 1.010738255 3.013422819 0.7418586504 2.2216705 1 0 0 0
4 55.2 0.03047539628 402.845798 6.900091349 0.00862714593 -88.79194631 0.3979865772 1.016107383 3.020134228 0.7457450739 2.967415574 1 0 0 0
5 55.2 0.03095150888 401.5120356 7.985369209 0.01155639993 -88.38926174 0.3973154362 1.02147651 3.026845638 0.7515475443 3.718963118 1 0 0 0
6 55.2 0.0315891701 400.1933328 8.958979558 0.01454943804 -87.98657718 0.3966442953 1.026845638 3.033557047 0.7592493592 4.478212477 1 0 0 0
7 55.2 0.03239180324 398.8894616 9.859375414 0.01762568405 -87.58389262 0.3959731544 1.032214765 3.040268456 0.7688340519 5.247046529 1 0 0 0
8 55.2 0.03336387608 397.6001984 10.70931147 0.02080222597 -87.18120805 0.3953020134 1.037583893 3.046979866 0.7802844633 6.027330992 1 0 0 0
9 55.2 0.0345107696 396.3253244 11.52328413 0.02409352204 -86.77852349 0.3946308725 1.04295302 3.053691275 0.7935816806 6.820912673 1 0 0 0
10 55.2 0.03583863037 395.0646254 12.3108853 0.0275111586 -86.37583893 0.3939597315 1.048322148 3.060402685 0.8087039284 7.629616601 1 0 0 0
11 55.2 0.03735420934 393.8178914 13.07853864 0.03106367611 -85.97315436 0.3932885906 1.053691275 3.067114094 0.8256255015 8.455242103 1 0 0 0
12 55.2 0.03906469107 392.5849169 13.83049923 0.03475647951 -85.5704698 0.3926174497 1.059060403 3.073825503 0.8443158223 9.299557925 1 0 0 0
13 55.2 0.04097751816 391.3655004 14.56948241 0.03859184592 -85.16778523 0.3919463087 1.06442953 3.080536913 0.864738694 10.16429662 1 0 0 0
14 55.2 0.04310021634 390.1594446 15.29709042 0.04256903613 -84.76510067 0.3912751678 1.069798658 3.087248322 0.8868518065 11.05114843 1 0 0 0
15 55.2 0.04544022609 388.966556 16.01412014 0.04668450841 -84.36241611 0.3906040268 1.075167785 3.093959732 0.9106065282 11.96175495 1 0 0 0
16 55.2 0.04800474653 387.7866452 16.72079566 0.05093222414 -83.95973154 0.3899328859 1.080536913 3.100671141 0.9359479943 12.89770295 1 0 0 0
17 55.2 0.0508005966 386.6195263 17.41694902 0.05530402673 -83.55704698 0.389261745 1.08590604 3.10738255 0.9628154781 13.86051843 1 0 0 0
18 55.2 0.05383409774 385.4650174 18.10216231 0.05979006937 -83.15436242 0.388590604 1.091275168 3.11409396 0.9911430118 14.85166144 1 0 0 0
19 55.2 0.05711098054 384.32294 18.77587878 0.06437926448 -82.75167785 0.3879194631 1.096644295 3.120805369 1.020860206 15.87252164 1 0 0 0
20 55.2 0.06063631677 383.1931191 19.43748813 0.06905972809 -82.34899329 0.3872483221 1.102013423 3.127516779 1.051893204 16.92441485 1 0 0 0
21 55.2 0.06441447622 382.0753831 20.08638974 0.07381919549 -81.94630872 0.3865771812 1.10738255 3.134228188 1.08416572 18.00858057 1 0 0 0
22 55.2 0.06844910675 380.969564 20.72203714 0.07864539007 -81.54362416 0.3859060403 1.112751678 3.140939597 1.117600078 19.12618065 1 0 0 0
23 55.2 0.07274313498 379.8754968 21.34396692 0.08352633341 -81.1409396 0.3852348993 1.118120805 3.147651007 1.152118226 20.27829887 1 0 0 0
24 55.2 0.07729878422 378.7930196 21.95181487 0.08845059102 -80.73825503 0.3845637584 1.123489933 3.154362416 1.187642664 21.46594154 1 0 0 0
25 55.2 0.08211760598 377.721974 22.54532231 0.0934074537 -80.33557047 0.3838926174 1.12885906 3.161073826 1.224097261 22.6900388 1 0 0 0
26 55.2 0.08720052156 376.6622042 23.12433507 0.09838705889 -79.93288591 0.3832214765 1.134228188 3.167785235 1.261407948 23.95144674 1 0 0 0
27 55.2 0.09254787029 375.6135576 23.68879728 0.1033804592 -79.53020134 0.3825503356 1.139597315 3.174496644 1.299503281 25.25095002 1 0 0 0
